id,-|title|-,-|node_summary|-,-|body:value|-,term|field_blog_category|+,term|field_blog_tags|+,-|field_vactory_excerpt:value|-,media|field_vactory_media|image,media|field_vactory_media|image_alt
1,Blog 01,Blog 01 description,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",Category 1,Tag 1|Tag 2,"Nulla neque dolor, sagittis eget, iaculis quis, molestie non, velit. Pellentesque posuere. Quisque rutrum. Morbi vestibulum volutpat enim.
Donec orci lectus, aliquam ut, faucibus non, euismod id, nulla. Sed magna purus, fermentum eu, tincidunt eu, varius ut, felis.",https://www.dropbox.com/scl/fi/chpdhv3rue8758p4a25ul/image_01.jpeg?rlkey=sms8jnzj1aejpu9krvr5pfv97&dl=1,demo 01
2,Blog 02,Blog 02 description,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",Category 2,Tag 3|Tag 4,"Phasellus tempus. Nullam vel sem. Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum.
Vestibulum ullamcorper mauris at ligula. Nullam accumsan lorem in dui. Suspendisse eu ligula. Nullam cursus lacinia erat.",https://www.dropbox.com/scl/fi/nxmwrw9buo2fz61m7upun/image_02.jpeg?rlkey=30cwblpjjwqw2g55ab4k83m19&dl=1,demo 02
3,Blog 03,Blog 03 description,"Nulla neque dolor, sagittis eget, iaculis quis, molestie non, velit. Pellentesque posuere. Quisque rutrum. Morbi vestibulum volutpat enim.
Donec orci lectus, aliquam ut, faucibus non, euismod id, nulla. Sed magna purus, fermentum eu, tincidunt eu, varius ut, felis.",Category 3,Tag 5,"In ac felis quis tortor malesuada pretium. Vivamus quis mi. Aenean commodo ligula eget dolor. 
Vivamus quis mi. Curabitur blandit mollis lacus. Phasellus gravida semper nisi. Proin magna.",https://www.dropbox.com/scl/fi/l9rpkmum81ukiha1xk4af/image_03.jpeg?rlkey=zbfemsnrxurczfz0qmcxsh992&dl=1,demo 03
4,Blog 04,Blog 04 description,"Phasellus tempus. Nullam vel sem. Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum.
Vestibulum ullamcorper mauris at ligula. Nullam accumsan lorem in dui. Suspendisse eu ligula. Nullam cursus lacinia erat.",Category 1,Tag 1|Tag 2,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",https://www.dropbox.com/scl/fi/lqu79ugbjijmb8zz5o6wd/image_04.jpeg?rlkey=0nrzafn1m0c7unvo49mte7bc8&dl=1,demo 04
5,Blog 05,Blog 05 description,"In ac felis quis tortor malesuada pretium. Vivamus quis mi. Aenean commodo ligula eget dolor. 
Vivamus quis mi. Curabitur blandit mollis lacus. Phasellus gravida semper nisi. Proin magna.",Category 2,Tag 3|Tag 4,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",https://www.dropbox.com/scl/fi/kd989kr9qfni7klcs07t0/image_05.jpeg?rlkey=f324rocn5tp63m05hwcjakj90&dl=1,demo 05
6,Blog 06,Blog 06 description,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",Category 3,Tag 5,"Nulla neque dolor, sagittis eget, iaculis quis, molestie non, velit. Pellentesque posuere. Quisque rutrum. Morbi vestibulum volutpat enim.
Donec orci lectus, aliquam ut, faucibus non, euismod id, nulla. Sed magna purus, fermentum eu, tincidunt eu, varius ut, felis.",https://www.dropbox.com/scl/fi/chpdhv3rue8758p4a25ul/image_01.jpeg?rlkey=sms8jnzj1aejpu9krvr5pfv97&dl=1,demo 06
7,Blog 07,Blog 07 description,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",Category 1,Tag 1|Tag 2,"Phasellus tempus. Nullam vel sem. Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum.
Vestibulum ullamcorper mauris at ligula. Nullam accumsan lorem in dui. Suspendisse eu ligula. Nullam cursus lacinia erat.",https://www.dropbox.com/scl/fi/nxmwrw9buo2fz61m7upun/image_02.jpeg?rlkey=30cwblpjjwqw2g55ab4k83m19&dl=1,demo 07
8,Blog 08,Blog 08 description,"Nulla neque dolor, sagittis eget, iaculis quis, molestie non, velit. Pellentesque posuere. Quisque rutrum. Morbi vestibulum volutpat enim.
Donec orci lectus, aliquam ut, faucibus non, euismod id, nulla. Sed magna purus, fermentum eu, tincidunt eu, varius ut, felis.",Category 2,Tag 3|Tag 4,"In ac felis quis tortor malesuada pretium. Vivamus quis mi. Aenean commodo ligula eget dolor. 
Vivamus quis mi. Curabitur blandit mollis lacus. Phasellus gravida semper nisi. Proin magna.",https://www.dropbox.com/scl/fi/l9rpkmum81ukiha1xk4af/image_03.jpeg?rlkey=zbfemsnrxurczfz0qmcxsh992&dl=1,demo 08
9,Blog 09,Blog 09 description,"Phasellus tempus. Nullam vel sem. Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum.
Vestibulum ullamcorper mauris at ligula. Nullam accumsan lorem in dui. Suspendisse eu ligula. Nullam cursus lacinia erat.",Category 3,Tag 5,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",https://www.dropbox.com/scl/fi/lqu79ugbjijmb8zz5o6wd/image_04.jpeg?rlkey=0nrzafn1m0c7unvo49mte7bc8&dl=1,demo 09
10,Blog 10,Blog 10 description,"In ac felis quis tortor malesuada pretium. Vivamus quis mi. Aenean commodo ligula eget dolor. 
Vivamus quis mi. Curabitur blandit mollis lacus. Phasellus gravida semper nisi. Proin magna.",Category 1,Tag 1|Tag 2,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",https://www.dropbox.com/scl/fi/kd989kr9qfni7klcs07t0/image_05.jpeg?rlkey=f324rocn5tp63m05hwcjakj90&dl=1,demo 10
11,Blog 11,Blog 11 description,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",Category 2,Tag 3|Tag 4,"Nam commodo suscipit quam. Ut varius tincidunt libero. Praesent congue erat at massa. Sed lectus.
Morbi vestibulum volutpat enim. Curabitur ullamcorper ultricies nisi. Donec vitae sapien ut libero venenatis faucibus. Nam eget dui.",https://www.dropbox.com/scl/fi/chpdhv3rue8758p4a25ul/image_01.jpeg?rlkey=sms8jnzj1aejpu9krvr5pfv97&dl=1,demo 11
12,Blog 12,Blog 11 description,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",Category 3,Tag 5,"Proin magna. Sed mollis, eros et ultrices tempus, mauris ipsum aliquam libero, non adipiscing dolor urna a orci.
Praesent egestas neque eu enim. Vestibulum eu odio. Nulla consequat massa quis enim.",https://www.dropbox.com/scl/fi/nxmwrw9buo2fz61m7upun/image_02.jpeg?rlkey=30cwblpjjwqw2g55ab4k83m19&dl=1,demo 12