id;-|title|-;-|node_summary|-;-|field_faq:question|-;-|field_faq:answer|-;term|field_vactory_taxonomy_1|+
31;FAQ1;"page FAQ1";"The University of East Anglia (UEA) 1?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning2.";"Tech"
32;FAQ2;"page FAQ2";"The University of East Anglia (UEA) 2?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning2.";"Econom"
33;FAQ3;"page FAQ3";"The University of East Anglia (UEA) 3?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning2.";"Tech"
34;FAQ4;"page FAQ4";"The University of East Anglia (UEA) 4?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning2.";"Econom"
35;FAQ5;"page FAQ5";"The University of East Anglia (UEA) 5?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning2.";"Tech"
36;FAQ6;"page FAQ6";"The University of East Anglia (UEA) 6?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning2.";"Econom"
37;FAQ7;"page FAQ7";"The University of East Anglia (UEA) 7?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning2.";"Tech"
38;FAQ8;"page FAQ8";"The University of East Anglia (UEA) 8?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning2.";"Econom"
39;FAQ9;"page FAQ9";"The University of East Anglia (UEA) 9?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning2.";"Tech"
30;FAQ99;"page FAQ10";"The University of East Anglia (UEA) 10?";"This type of audience understanding throughout every critical section and site navigation reflects the potential to continuously service and support your audience as a core part of the business positioning99.";"Tech"